file,strategy,pnl_pct,pnl_abs,sharpe,sortino,calmar,max_drawdown,time_to_recovery,VaR,CVaR,trades
C:\windows bot\moex_bot\data\SBER_hour_90d.csv,lstm_predict,0.7894793403181182,789479.3403181182,1.8720920385744115,3.050835394908285,3.673655852098353,-0.02350762382521332,60,0.0025710294048416284,0.004025688834473551,174
C:\windows bot\moex_bot\data\SBER_hour_90d.csv,bollinger_bands,0.20110107020835066,201101.07020835066,0.6034123445794123,0.8042981803813962,0.3965336641667862,-0.07037619707944742,315,0.0027909664965482077,0.004939648921769927,40
C:\windows bot\moex_bot\data\SBER_hour_90d.csv,rsi,0.150736243013311,150736.243013311,0.4674772525287189,0.6575159224027255,0.42323443663880894,-0.05109712286531165,447,0.002899793005569614,0.004882832969755214,36
C:\windows bot\moex_bot\data\SBER_hour_90d.csv,pair_trading,0.11136692731658915,111366.92731658915,0.3581825571943146,0.4844245767581145,0.2558723877121624,-0.06454938647212527,400,0.002896870271365647,0.004926249444909228,52
C:\windows bot\moex_bot\data\SBER_hour_90d.csv,ml_predict,0.05109409624908112,51094.09624908112,0.4992417905131559,0.304640011646071,0.18123457767230605,-0.04091644227016833,409,0.0013216190651135985,0.002257427466479331,204
C:\windows bot\moex_bot\data\SBER_hour_90d.csv,supertrend,0.03556480071219936,35564.800712199365,0.13305569411227394,0.17318339491666798,0.0795091144303137,-0.07764166259273764,1107,0.002941340208641227,0.005200399797779828,2
C:\windows bot\moex_bot\data\SBER_hour_90d.csv,arbitrage,0.01606766284812422,16067.66284812422,0.07310548157525634,0.0951205280637024,0.04255062305548474,-0.07939226907755914,1107,0.0029375542811481245,0.005175265088401767,3
C:\windows bot\moex_bot\data\SBER_hour_90d.csv,atr_stop,0.0,0.0,,,,0.0,0,0.0,0.0,0
C:\windows bot\moex_bot\data\SBER_hour_90d.csv,sma_strategy,-0.15495820199632282,-154958.2019963228,-0.508980074642757,-0.42634981723214715,-0.11428272934563012,-0.20631501130249663,1121,0.0029895893874191215,0.005837657543996106,130
C:\windows bot\moex_bot\data\SBER_hour_90d.csv,news_sentiment,-0.2272375229130904,-227237.52291309042,-0.7908020131110559,-0.6689449965276968,-0.15541269589418155,-0.23603244328926143,1707,0.0030739935567096846,0.005890174011784687,426
